0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	48	23	9	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	6	48	63	48	48	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	48	94	48	27	0	8	48	0	0	0	47	48	0	0	0	0	0	0	0	0	0	0	17	73	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	49	0	0	45	49	83	48	96	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	48	87	48	46	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	48	48	186	122	108	48	22	48	3	0	0	0	35	45	58	48	14	0	0	0	17	48	55	48	93	48	96	114	96	52	48	48	0	43	0	0	0	0	0	0	0	0	0	0	36	48	48	48	0	50	96	86	76	102	63	48	43	27	0	0	48	48	48	49	96	0	0	47	0	0	0	0	0	0	0	0	0	48	48	48	48	48	15	96	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	28	33	62	180	288	265	239	82	48	0	0	24	48	28	0	0	45	48	69	48	48	0	0	0	0	0	0	27	48	48	48	95	48	48	8	0	0	0	0	0	51	22	0	0	0	48	48	48	48	48	0	0	0	23	48	88	39	0	0	0	0	0	121	75	13	37	0	0	0	0	0	0	0	0	0	0	0	0	0	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	10	18	17	71	92	144	122	105	110	91	162	108	139	102	101	123	119	0	0	0	0	0	48	47	1	0	0	0	0	0	3	0	24	0	0	0	0	0	13	48	13	0	38	44	48	0	41	96	68	96	0	0	5	96	61	95	48	48	48	30	50	30	19	5	0	38	0	45	35	0	13	95	43	0	21	48	6	0	0	0	34	48	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
