0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	4
7	8
14	20
28	32
43	47
56	57
70	70
83	80
89	83
97	87
99	88
105	91
106	89
107	89
109	87
105	87
4	4
6	9
15	20
28	36
44	49
56	63
70	73
82	81
92	83
98	88
102	88
104	90
107	90
112	95
107	84
108	80
4	4
6	9
14	21
28	37
43	50
56	63
72	69
83	80
90	87
99	93
99	83
103	92
106	88
109	101
111	101
102	101
0	9
7	10
13	19
24	30
35	40
48	51
58	60
69	66
76	69
84	72
89	73
95	78
99	81
103	81
102	82
104	83
0	3
5	8
15	20
24	30
36	41
46	52
58	58
67	65
76	68
83	71
87	75
94	78
98	80
104	80
100	79
100	79
5	5
7	10
15	20
28	35
43	49
58	61
71	72
84	81
92	84
96	88
103	92
112	101
116	82
102	82
102	82
102	82
4	4
7	10
14	21
28	35
43	50
58	60
71	72
82	82
91	82
97	94
103	72
105	102
109	102
115	102
110	102
110	102
4	9
7	10
15	20
28	33
43	49
57	67
71	80
83	62
90	62
99	62
109	62
99	62
108	62
108	62
109	62
109	62
0	6
8	10
15	20
24	30
36	41
47	51
58	60
70	66
76	71
82	73
89	75
97	81
97	83
106	86
99	86
109	86
0	0
10	9
14	19
25	29
35	40
47	49
59	57
70	68
76	66
81	77
90	76
95	76
101	76
106	76
110	76
110	76
0	2
7	9
15	19
25	30
36	41
48	50
58	57
68	65
76	69
83	70
89	77
96	73
100	86
100	74
106	74
98	74
0	0
7	9
14	19
25	30
35	42
47	51
58	59
69	68
77	67
84	72
88	74
93	74
100	74
104	74
100	74
120	74
2	3
3	5
5	10
9	17
15	24
21	29
26	32
30	35
31	35
31	34
29	33
26	32
25	31
24	30
23	30
23	29
3	3
3	5
5	9
10	16
16	23
22	29
27	34
31	36
30	36
27	35
29	34
31	32
25	29
18	30
34	28
29	24
3	3
3	5
5	9
10	16
16	23
22	30
27	34
30	36
31	35
31	34
30	32
28	32
27	34
27	39
26	39
28	39
0	2
2	4
4	7
7	10
10	14
12	17
15	18
15	20
16	21
18	22
19	22
20	24
19	25
21	24
23	25
21	25
2	2
2	4
4	7
7	10
10	14
12	16
14	18
16	20
17	20
18	21
19	23
19	24
20	24
20	25
21	24
21	24
0	0
0	7
0	14
0	25
0	40
0	59
0	66
0	74
0	74
0	74
0	74
0	74
0	74
0	74
0	74
0	74
